1996,DEU,1904,7.842125905501684,None
1997,DEU,1904,7.998829825348122,1.4345111223138656
1998,DEU,1904,8.030375887282512,1.0753406466119033
2002,DEU,1904,8.075161399560885,1.1086271554349458
2003,DEU,1904,8.04458052258241,0.932006890147896
2004,DEU,1904,8.136365061023131,1.2353344090446383
2007,DEU,1904,8.316181371787534,1.5129212077911927
2008,DEU,1904,8.352300437180606,1.0867235169426617
2009,DEU,1904,8.313406961733047,0.9143374843542487
2012,DEU,1904,8.35521258861678,1.1010464142115581
2013,DEU,1904,8.34919985856549,0.9862505762046547
2014,DEU,1904,8.386553135726949,1.0898162446794233
2016,DEU,1904,8.422007457186355,1.085061418252493
