1996,FRA,1801,6.623232848938442,None
1997,FRA,1801,6.8010183686216745,1.5058631981544064
1998,FRA,1801,6.647553231035914,0.7023197192581224
1999,FRA,1801,6.849698022298821,1.5927396487098189
2000,FRA,1801,6.81947154709568,0.9327677556849303
2002,FRA,1801,6.554319527918783,0.5430602070041977
2003,FRA,1801,6.6986398150419415,1.3941846188190645
2004,FRA,1801,6.690470750885442,0.981365838036908
2005,FRA,1801,6.550754081557615,0.7249087312108666
2007,FRA,1801,6.549113661843839,0.9962299186900374
2008,FRA,1801,6.479891882820856,0.8526645768025078
2009,FRA,1801,5.523132299227221,0.11046899841017488
2010,FRA,1801,6.103495844109766,3.805077834544626
2012,FRA,1801,6.690927914010088,3.86751556220944
2013,FRA,1801,6.531567682871622,0.6928508735471441
2014,FRA,1801,6.93728799612087,2.5451906154477246
2016,FRA,1801,6.139757278042167,0.1593930136468295
