FRA,DEU,NGA,NLD,CIV,POL,Impact Score,Adjusted Trend
1,0,0,0,0,0,0.4,1.0713419829227948
1,0,0,0,0,0,0.5176091259055682,1.2011431380313753
1,0,0,0,0,0,0.7097284734298384,1.2429539548461013
1,0,0,0,0,0,0,0.9965390554386024
1,0,0,0,0,0,0.6075911761482777,0.998161099286159
1,0,0,0,0,0,0.677085569208826,1.0537132670560778
1,0,0,0,0,0,0,0.9700347839920214
1,0,0,0,0,0,0.4,1.006439659866519
1,0,0,0,0,0,0.5397940008672037,1.2470500265854838
1,0,0,0,0,0,0.49030899869919436,0.9997791112434525
1,0,0,0,0,0,0.6505149978319906,1.009478297946105
1,0,0,0,0,0,0,0.9827721830602368
1,0,0,0,0,0,0.5816241299991783,1.0507111286192523
1,0,0,0,0,0,0.5685741738602264,0.6926340960273976
1,0,0,0,0,0,0.6380211241711606,1.0690847833965638
0,1,0,0,0,0,0.5556302500767287,0.6322655301311612
0,1,0,0,0,0,0.5176091259055682,0.5935801613935345
0,1,0,0,0,0,0.6339695849505891,0.8625962781006814
0,1,0,0,0,0,0.7135132651376775,0.5455230659219604
0,1,0,0,0,0,0.6290034611362518,1.6092393807347576
0,1,0,0,0,0,0.5152288344383057,1.612341493483621
0,1,0,0,0,0,0.5897627091290442,1.3406791463564494
0,1,0,0,0,0,0.6740362689494244,1.4319380792341379
0,1,0,0,0,0,0.6079181246047625,1.6539451785892092
0,1,0,0,0,0,0.6176091259055682,1.6539451785892092
0,1,0,0,0,0,0,1.392450590845761
0,1,0,0,0,0,0.4845098040014257,1.392450590845761
0,1,0,0,0,0,0,1.4323317632845767
0,1,0,0,0,0,0.7247973266361807,1.2938657882642393
0,1,0,0,0,0,0.5602059991327962,1.2226565889396348
0,1,0,0,0,0,0.6301029995663981,0.9941865752769075
0,0,1,0,0,0,0.3826398782187618,0.016691932207500832
0,0,1,0,0,0,0,1718.9948233584598
0,0,1,0,0,0,0,0.21838944006958635
0,0,0,1,0,0,0,1.057422113749887
0,0,0,1,0,0,0.5724357804226426,0.9243760735354725
0,0,0,1,0,0,0.5477121254719662,1.0763387220497813
0,0,0,1,0,0,0,0.999892027966289
0,0,0,1,0,0,0.5,1.0499631869405728
0,0,0,1,0,0,0.5740362689494244,1.0096912971554366
0,0,0,1,0,0,0,0.9841841694320252
0,0,0,1,0,0,0,1.149813932086867
0,0,0,1,0,0,0.4,1.0959037036781507
0,0,0,1,0,0,0.5926342446625654,1.0761514619628756
0,0,0,1,0,0,0,1.057422113749887
0,0,0,1,0,0,0.5724357804226426,0.9243760735354725
0,0,0,1,0,0,0.5477121254719662,1.0763387220497813
0,0,0,1,0,0,0,0.999892027966289
0,0,0,1,0,0,0.5,1.0499631869405728
0,0,0,1,0,0,0.5740362689494244,1.137539442613616
0,0,0,1,0,0,0,0.9841841694320252
0,0,0,1,0,0,0.44471580313422193,1.1603846062149368
0,0,0,1,0,0,0,0.9659313211379832
0,0,0,1,0,0,0,1.0258393620412505
0,0,0,1,0,0,0.4,1.0959037036781507
0,0,0,1,0,0,0.5926342446625654,1.166951520426192
0,0,0,0,1,0,0,1.058554870702374
0,0,0,0,1,0,0,1.0767687552000815
0,0,0,0,0,1,0.6544068044350275,3.3619508262797257
0,0,0,0,0,1,0,1.225056106276962
0,0,0,0,0,1,0.4,1.0001081662051003
0,0,0,0,0,1,0,1.125898712446352
0,0,0,0,0,1,0.21760912590556813,0.9148445647997365
0,0,0,0,0,1,0,4.151471362760589
0,0,0,0,0,1,0,0.8321890708851216
0,0,0,0,0,1,0.5,0.7421851330828562
0,0,0,0,0,1,0.4698970004336019,1.0062362116281882
0,0,0,0,0,1,0.5,1.404014010082505
0,0,0,0,0,1,0.3770852011642144,1.154068203913312
0,0,0,0,0,1,0,1.2304473165828986
0,0,0,0,0,1,0,0.9438400801983704
0,0,0,0,0,1,0,0.5856297489407892
